"file","year","page_from","page_to","project_label","project_type_label","n","# SECTION 1: ABOUT THE PROJECT","# SECTION 2: PROJECT COSTS","# SECTION 3: PROJECT TIMESCALE","# SECTION 4: KEY USER REQUIREMENTS","# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL","# SECTION 1: ABOUT THE REQUIREMENT","# SECTION 2: THE ASSESSMENT PHASE","# SECTION 4: KEY USER REQUIREMENTS REVISED","# B. Section B: Cost","# C. Section C: Timescale","# D. Section D: Performance","# A. Section A: The Project","# A. Section A: The Project (2)","# D. Section D: Performance – Not Applicable","# E. Section E: Cancellation","NA"
"naomprss_2006_105_110.md",2006,105,110,"PRECISION GUIDED BOMB (PGB)","D&M Phase",1,52,230,181,131,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_111_116.md",2006,111,116,"STING RAY LIFE EXTENSION & CAPABILITY UPGRADE (SRLE)","D&M Phase",1,64,277,168,209,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_117_126.md",2006,117,126,"SUPPORT VEHICLE","D&M Phase",1,87,226,208,232,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_127_132.md",2006,127,132,"TERRIER","D&M Phase",1,49,167,165,151,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_133_138.md",2006,133,138,"Trojan and Titan","D&M Phase",1,82,222,215,145,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_139_146.md",2006,139,146,"Typhoon","D&M Phase",1,140,307,187,232,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_147_156.md",2006,147,156,"Type 45 Destroyer","D&M Phase",1,104,281,231,172,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_15_22.md",2006,15,22,"Astute Class Submarines","D&M Phase",1,66,344,166,213,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_157_158.md",2006,157,158,"ADVANCED JET TRAINER","Assessment Phase Projects",1,NA,NA,NA,NA,NA,12,119,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_159_160.md",2006,159,160,"Falcon","Assessment Phase Projects",1,NA,NA,NA,NA,NA,6,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_161_164.md",2006,161,164,"Queen Elizabeth Class Aircraft Carriers","Assessment Phase Projects",1,NA,NA,NA,NA,NA,6,128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_165_166.md",2006,165,166,"Future Integrated Soldier Technology","Assessment Phase Projects",1,NA,NA,NA,NA,NA,6,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_167_168.md",2006,167,168,"Future Rapid Effects System","Assessment Phase Projects",1,NA,NA,NA,NA,NA,8,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_169_170.md",2006,169,170,"Future Strategic Tanker Aircraft (Voyager)","Assessment Phase Projects",1,NA,NA,NA,NA,NA,4,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_171_172.md",2006,171,172,"Indirect Fire Precision Attack","Assessment Phase Projects",1,NA,NA,NA,NA,NA,8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_173_174.md",2006,173,174,"Military Afloat Reach and Sustainability","Assessment Phase Projects",1,NA,NA,NA,NA,NA,19,127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_175_176.md",2006,175,176,"United Kingdom Military Flying Training System","Assessment Phase Projects",1,NA,NA,NA,NA,NA,10,126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_177_178.md",2006,177,178,"Watchkeeper","Assessment Phase Projects",1,NA,NA,NA,NA,NA,6,128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_23_30.md",2006,23,30,"Beyond Visual Range Air to Air Missile","D&M Phase",1,88,296,185,158,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_31_38.md",2006,31,38,"Bowman","D&M Phase",1,59,292,169,182,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_39_46.md",2006,39,46,"BRIMSTONE","D&M Phase",1,53,253,157,230,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_47_54.md",2006,47,54,"COMBAT, DBL INFRASTRUCTURE AND PLATFORM BISA (CIP)","D&M Phase",1,88,190,203,243,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_55_62.md",2006,55,62,"C Vehicle PFI","D&M Phase",1,90,244,224,206,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_63_68.md",2006,63,68,"GUIDED MULTIPLE LAUNCH ROCKET SYSTEM (GMLRS)","D&M Phase",1,42,244,155,121,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_69_76.md",2006,69,76,"Joint Combat Aircraft (Lightning II)","D&M Phase",1,80,288,153,201,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_7_14.md",2006,7,14,"A400M","D&M Phase",1,78,418,188,213,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_77_82.md",2006,77,82,"LIGHT FORCES ANTI-TANK GUIDED WEAPON (LFATGW)","D&M Phase",1,80,218,174,120,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naomprss_2006_83_88.md",2006,83,88,"NEXT GENERATION LIGHT ANTI-ARMOUR WEAPON (NLAW)","D&M Phase",1,51,230,137,167,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
