"file","project","year","section","from","to"
"naomprss_2006_105_110.md","PRECISION GUIDED BOMB (PGB)",2006,"# SECTION 1: ABOUT THE PROJECT",25,77
"naomprss_2006_105_110.md","PRECISION GUIDED BOMB (PGB)",2006,"# SECTION 2: PROJECT COSTS",77,307
"naomprss_2006_105_110.md","PRECISION GUIDED BOMB (PGB)",2006,"# SECTION 3: PROJECT TIMESCALE",307,488
"naomprss_2006_105_110.md","PRECISION GUIDED BOMB (PGB)",2006,"# SECTION 4: KEY USER REQUIREMENTS",488,619
"naomprss_2006_105_110.md","PRECISION GUIDED BOMB (PGB)",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",619,808
"naomprss_2006_111_116.md","STING RAY LIFE EXTENSION & CAPABILITY UPGRADE (SRLE)",2006,"# SECTION 1: ABOUT THE PROJECT",29,93
"naomprss_2006_111_116.md","STING RAY LIFE EXTENSION & CAPABILITY UPGRADE (SRLE)",2006,"# SECTION 2: PROJECT COSTS",93,370
"naomprss_2006_111_116.md","STING RAY LIFE EXTENSION & CAPABILITY UPGRADE (SRLE)",2006,"# SECTION 3: PROJECT TIMESCALE",370,538
"naomprss_2006_111_116.md","STING RAY LIFE EXTENSION & CAPABILITY UPGRADE (SRLE)",2006,"# SECTION 4: KEY USER REQUIREMENTS",538,747
"naomprss_2006_111_116.md","STING RAY LIFE EXTENSION & CAPABILITY UPGRADE (SRLE)",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",747,934
"naomprss_2006_117_126.md","SUPPORT VEHICLE",2006,"# SECTION 1: ABOUT THE PROJECT",28,115
"naomprss_2006_117_126.md","SUPPORT VEHICLE",2006,"# SECTION 2: PROJECT COSTS",115,341
"naomprss_2006_117_126.md","SUPPORT VEHICLE",2006,"# SECTION 3: PROJECT TIMESCALE",341,549
"naomprss_2006_117_126.md","SUPPORT VEHICLE",2006,"# SECTION 4: KEY USER REQUIREMENTS",549,781
"naomprss_2006_117_126.md","SUPPORT VEHICLE",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",781,976
"naomprss_2006_127_132.md","TERRIER",2006,"# SECTION 1: ABOUT THE PROJECT",55,104
"naomprss_2006_127_132.md","TERRIER",2006,"# SECTION 2: PROJECT COSTS",104,271
"naomprss_2006_127_132.md","TERRIER",2006,"# SECTION 3: PROJECT TIMESCALE",271,436
"naomprss_2006_127_132.md","TERRIER",2006,"# SECTION 4: KEY USER REQUIREMENTS",436,587
"naomprss_2006_127_132.md","TERRIER",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",587,776
"naomprss_2006_133_138.md","Trojan and Titan",2006,"# SECTION 1: ABOUT THE PROJECT",22,104
"naomprss_2006_133_138.md","Trojan and Titan",2006,"# SECTION 2: PROJECT COSTS",104,326
"naomprss_2006_133_138.md","Trojan and Titan",2006,"# SECTION 3: PROJECT TIMESCALE",326,541
"naomprss_2006_133_138.md","Trojan and Titan",2006,"# SECTION 4: KEY USER REQUIREMENTS",541,686
"naomprss_2006_133_138.md","Trojan and Titan",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",686,875
"naomprss_2006_139_146.md","Typhoon",2006,"# SECTION 1: ABOUT THE PROJECT",24,164
"naomprss_2006_139_146.md","Typhoon",2006,"# SECTION 2: PROJECT COSTS",164,471
"naomprss_2006_139_146.md","Typhoon",2006,"# SECTION 3: PROJECT TIMESCALE",471,658
"naomprss_2006_139_146.md","Typhoon",2006,"# SECTION 4: KEY USER REQUIREMENTS",658,890
"naomprss_2006_139_146.md","Typhoon",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",890,1073
"naomprss_2006_147_156.md","Type 45 Destroyer",2006,"# SECTION 1: ABOUT THE PROJECT",22,126
"naomprss_2006_147_156.md","Type 45 Destroyer",2006,"# SECTION 2: PROJECT COSTS",126,407
"naomprss_2006_147_156.md","Type 45 Destroyer",2006,"# SECTION 3: PROJECT TIMESCALE",407,638
"naomprss_2006_147_156.md","Type 45 Destroyer",2006,"# SECTION 4: KEY USER REQUIREMENTS",638,810
"naomprss_2006_147_156.md","Type 45 Destroyer",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",810,1001
"naomprss_2006_15_22.md","Astute Class Submarines",2006,"# SECTION 1: ABOUT THE PROJECT",26,92
"naomprss_2006_15_22.md","Astute Class Submarines",2006,"# SECTION 2: PROJECT COSTS",92,436
"naomprss_2006_15_22.md","Astute Class Submarines",2006,"# SECTION 3: PROJECT TIMESCALE",436,602
"naomprss_2006_15_22.md","Astute Class Submarines",2006,"# SECTION 4: KEY USER REQUIREMENTS",602,815
"naomprss_2006_15_22.md","Astute Class Submarines",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",815,1002
"naomprss_2006_157_158.md","ADVANCED JET TRAINER",2006,"# SECTION 1: ABOUT THE REQUIREMENT",30,42
"naomprss_2006_157_158.md","ADVANCED JET TRAINER",2006,"# SECTION 2: THE ASSESSMENT PHASE",42,161
"naomprss_2006_159_160.md","Falcon",2006,"# SECTION 1: ABOUT THE REQUIREMENT",24,30
"naomprss_2006_159_160.md","Falcon",2006,"# SECTION 2: THE ASSESSMENT PHASE",30,160
"naomprss_2006_161_164.md","Queen Elizabeth Class Aircraft Carriers",2006,"# SECTION 1: ABOUT THE REQUIREMENT",26,32
"naomprss_2006_161_164.md","Queen Elizabeth Class Aircraft Carriers",2006,"# SECTION 2: THE ASSESSMENT PHASE",32,160
"naomprss_2006_165_166.md","Future Integrated Soldier Technology",2006,"# SECTION 1: ABOUT THE REQUIREMENT",28,34
"naomprss_2006_165_166.md","Future Integrated Soldier Technology",2006,"# SECTION 2: THE ASSESSMENT PHASE",34,154
"naomprss_2006_167_168.md","Future Rapid Effects System",2006,"# SECTION 1: ABOUT THE REQUIREMENT",27,35
"naomprss_2006_167_168.md","Future Rapid Effects System",2006,"# SECTION 2: THE ASSESSMENT PHASE",35,175
"naomprss_2006_169_170.md","Future Strategic Tanker Aircraft (Voyager)",2006,"# SECTION 1: ABOUT THE REQUIREMENT",26,30
"naomprss_2006_169_170.md","Future Strategic Tanker Aircraft (Voyager)",2006,"# SECTION 2: THE ASSESSMENT PHASE",30,150
"naomprss_2006_171_172.md","Indirect Fire Precision Attack",2006,"# SECTION 1: ABOUT THE REQUIREMENT",25,33
"naomprss_2006_171_172.md","Indirect Fire Precision Attack",2006,"# SECTION 2: THE ASSESSMENT PHASE",33,133
"naomprss_2006_173_174.md","Military Afloat Reach and Sustainability",2006,"# SECTION 1: ABOUT THE REQUIREMENT",27,46
"naomprss_2006_173_174.md","Military Afloat Reach and Sustainability",2006,"# SECTION 2: THE ASSESSMENT PHASE",46,173
"naomprss_2006_175_176.md","United Kingdom Military Flying Training System",2006,"# SECTION 1: ABOUT THE REQUIREMENT",32,42
"naomprss_2006_175_176.md","United Kingdom Military Flying Training System",2006,"# SECTION 2: THE ASSESSMENT PHASE",42,168
"naomprss_2006_177_178.md","Watchkeeper",2006,"# SECTION 1: ABOUT THE REQUIREMENT",28,34
"naomprss_2006_177_178.md","Watchkeeper",2006,"# SECTION 2: THE ASSESSMENT PHASE",34,162
"naomprss_2006_23_30.md","Beyond Visual Range Air to Air Missile",2006,"# SECTION 1: ABOUT THE PROJECT",24,112
"naomprss_2006_23_30.md","Beyond Visual Range Air to Air Missile",2006,"# SECTION 2: PROJECT COSTS",112,408
"naomprss_2006_23_30.md","Beyond Visual Range Air to Air Missile",2006,"# SECTION 3: PROJECT TIMESCALE",408,593
"naomprss_2006_23_30.md","Beyond Visual Range Air to Air Missile",2006,"# SECTION 4: KEY USER REQUIREMENTS",593,751
"naomprss_2006_23_30.md","Beyond Visual Range Air to Air Missile",2006,"# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL",751,942
"naomprss_2006_31_38.md","Bowman",2006,"# SECTION 1: ABOUT THE PROJECT",24,83
