year,project_type,project,page_from,page_to,project_label,project_type_label
2005,post-main gate,A400M,6,11,A400M,D&M Phase
2006,post-main gate,A400M,7,14,A400M,D&M Phase
2007,post-main gate,A400M,7,16,A400M,D&M Phase
2008,post-main gate,A400M,7,16,A400M,D&M Phase
2009,Post-Main Investment Decision Projects,A400M,103,112,A400M,D&M Phase
2010,Post-Main Gate Projects,A400M,60,69,A400M,D&M Phase
2011,Post-main-gate projects,A400M,25,37,A400M,D&M Phase
2012,Post-main-gate projects,A400M,18,33,A400M,D&M Phase
2013,Post-main-gate projects,A400M,13,31,A400M,D&M Phase
2014,Post-Main-Gate projects,A400M,10,24,A400M,D&M Phase
2015,Post-Main-Gate projects,A400M,10,27,A400M,D&M Phase
2005,pre-main gate,ADVANCED JET TRAINER,132,133,ADVANCED JET TRAINER,Assessment Phase Projects
2006,pre-main gate,ADVANCED JET TRAINER (AJT),157,158,ADVANCED JET TRAINER,Assessment Phase Projects
2008,post-main gate,ADVANCED JET TRAINER,17,22,ADVANCED JET TRAINER,D&M Phase
2005,post-main gate,AIRBORNE STAND-OFF RADAR (ASTOR),12,17,Airborne Stand Off Radar (ASTOR),D&M Phase
2010,Support Projects,Airborne Stand Off Radar,252,261,Airborne Stand Off Radar (ASTOR),Support Projects
2009,Pre-Main Investment Decision,Helix,305,307,Airseeker,Assessment Phase Projects
2010,Assessment Phase Projects,Helix,29,31,Airseeker,Assessment Phase Projects
2011,Post-main-gate projects,Airseeker,38,50,Airseeker,D&M Phase
2012,Post-main-gate projects,Airseeker,34,49,Airseeker,D&M Phase
2013,Concept phase projects,Attack Helicopter Capability Sustainment Programme,242,243,Apache Attack Helicopter Capability Sustainment Programme,Concept phase projects
2014,Concept phase projects,Attack Helicopter Capability Sustainment Programme,246,247,Apache Attack Helicopter Capability Sustainment Programme,Concept phase projects
2015,Assessment phase projects,Apache Attack Helicopter Capability Sustainment Programme,216,221,Apache Attack Helicopter Capability Sustainment Programme,Assessment Phase Projects
2005,post-main gate,ASTUTE CLASS SUBMARINE,18,23,Astute Class Submarines,D&M Phase
2006,post-main gate,ASTUTE CLASS SUBMARINE,15,22,Astute Class Submarines,D&M Phase
2007,post-main gate,ASTUTE CLASS SUBMARINE,17,26,Astute Class Submarines,D&M Phase
2008,post-main gate,ASTUTE CLASS SUBMARINE,23,30,Astute Class Submarines,D&M Phase
2009,Post-Main Investment Decision Projects,Astute Class Submarines,113,129,Astute Class Submarines,D&M Phase
2010,Post-Main Gate Projects,Astute Class Submarines,70,87,Astute Class Submarines,D&M Phase
2011,Post-main-gate projects,Astute Class Submarines,51,76,Astute Class Submarines,D&M Phase
2012,Post-main-gate projects,Astute Class Submarines,50,80,Astute Class Submarines,D&M Phase
2013,Post-main-gate projects,Astute Class Submarines,32,67,Astute Class Submarines,D&M Phase
2014,Post-Main-Gate projects,Astute Class Submarines,25,57,Astute Class Submarines,D&M Phase
2015,Post-Main-Gate projects,Astute Class Submarines,28,55,Astute Class Submarines,D&M Phase
2009,Support Projects,Attack Helicopter,55,62,Attack Helicopter,Support Projects
2005,post-main gate,BEYOND VISUAL RANGE AIR TO AIR MISSILE (BVRAAM),30,35,Beyond Visual Range Air to Air Missile,D&M Phase
2006,post-main gate,BEYOND VISUAL RANGE AIR TO AIR MISSILE (BVRAAM),23,30,Beyond Visual Range Air to Air Missile,D&M Phase
2007,post-main gate,BEYOND VISUAL RANGE AIR TO AIR MISSILE (BVRAAM),27,34,Beyond Visual Range Air to Air Missile,D&M Phase
2008,post-main gate,BEYOND VISUAL RANGE AIR TO AIR MISSILE,31,42,Beyond Visual Range Air to Air Missile,D&M Phase
2009,Post-Main Investment Decision Projects,Beyond Visual Range Air-to-Air Missile,130,139,Beyond Visual Range Air to Air Missile,D&M Phase
2010,Post-Main Gate Projects,Beyond Visual Range Air to Air Missile,88,96,Beyond Visual Range Air to Air Missile,D&M Phase
2011,Post-main-gate projects,Beyond Visual Range Air-to-Air Missile,77,90,Beyond Visual Range Air to Air Missile,D&M Phase
2012,Post-main-gate projects,Beyond Visual Range Air-to-Air Missile,81,95,Beyond Visual Range Air to Air Missile,D&M Phase
2005,post-main gate,BOWMAN,24,29,Bowman,D&M Phase
2006,post-main gate,BOWMAN,31,38,Bowman,D&M Phase
2007,post-main gate,BOWMAN,35,42,Bowman,D&M Phase
2010,Support Projects,Bowman,262,271,Bowman,Support Projects
2006,post-main gate,BRIMSTONE,39,46,BRIMSTONE,D&M Phase
2007,post-main gate,BRIMSTONE,43,50,BRIMSTONE,D&M Phase
2005,post-main gate,C-VEHICLE CAPABILITY,36,41,C Vehicle PFI,D&M Phase
2006,post-main gate,C VEHICLE CAPABILITY - PFI,55,62,C Vehicle PFI,D&M Phase
2007,post-main gate,C VEHICLE CAPABILITY - PFI,51,60,C Vehicle PFI,D&M Phase
2010,Support Projects,C Vehicle PFI,272,280,C Vehicle PFI,Support Projects
2011,Assessment phase projects,Chinook New Buy,272,276,Chinook New Buy,Assessment Phase Projects
2012,Post-main-gate projects,Chinook New Buy,96,113,Chinook New Buy,D&M Phase
2011,Assessment phase projects,Cipher,277,281,Cipher,Assessment Phase Projects
2012,Assessment phase projects,Cipher,345,351,Cipher,Assessment Phase Projects
2013,Assessment phase projects,Cipher,218,224,Cipher,Assessment Phase Projects
2014,Assessment phase projects,Cipher,204,210,Cipher,Assessment Phase Projects
2005,post-main gate,"COMBAT, DBL INFRASTRUCTURE AND PLATFORM BISA (CIP)",42,47,"COMBAT, DBL INFRASTRUCTURE AND PLATFORM BISA (CIP)",D&M Phase
2006,post-main gate,"CIP - COMBAT, DBL INFRASTRUCTURE, PLATFORM BISA",47,54,"COMBAT, DBL INFRASTRUCTURE AND PLATFORM BISA (CIP)",D&M Phase
2012,Post-main-gate projects,Complex Weapons Pipeline,114,133,Complex Weapons Pipeline,D&M Phase
2013,Post-main-gate projects,Complex Weapons Pipeline,68,89,Complex Weapons Pipeline,D&M Phase
2014,Post-Main-Gate projects,Complex Weapons Pipeline,58,81,Complex Weapons Pipeline,D&M Phase
2015,Post-Main-Gate projects,Complex Weapons Pipeline,56,80,Complex Weapons Pipeline,D&M Phase
2012,Assessment phase projects,Core Production Capability,352,357,Core Production Capability,Assessment Phase Projects
2013,Post-main-gate projects,Core Production Capability,90,98,Core Production Capability,D&M Phase
2014,Post-Main-Gate projects,Core Production Capability,82,90,Core Production Capability,D&M Phase
2015,Post-Main-Gate projects,Core Production Capability,81,91,Core Production Capability,D&M Phase
2014,Assessment phase projects,Crowsnest,211,216,Crowsnest,Assessment Phase Projects
2015,Assessment phase projects,Crowsnest,222,227,Crowsnest,Assessment Phase Projects
2008,pre-main gate,EAGLE,189,192,EAGLE,Assessment Phase Projects
2010,Assessment Phase Projects,Eagle/Sustain Sentry,55,59,Eagle/Sustain Sentry,Assessment Phase Projects
2005,pre-main gate,FALCON,136,139,Falcon,Assessment Phase Projects
